,Tipo,Descripcion,Items,Precio,Valoracion,Imagen
0,HABITACIÓN PRIVADA EN: APARTAMENTO,cómoda y céntrica habitación cerca Pl. España,2 huéspedes · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio anterior:
35€
Precio con descuento:
30€/noche",4.60,https://a0.muscache.com/im/pictures/dd84cf98-0a8e-4e80-86f9-777dd504eaf9.jpg?aki_policy=large
1,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitación cerca de Sants Estaciò,"1 huésped · 1 dormitorio · 1 cama · 1,5 baños compartidos","Precio:
21€/noche",4.64,https://a0.muscache.com/im/pictures/166cca9b-561b-484b-8eaf-e00d506dd8ae.jpg?aki_policy=large
2,HABITACIÓN PRIVADA EN: APARTAMENTO,Comfortable and central room with lots of light,2 huéspedes · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio anterior:
34€
Precio con descuento:
29€/noche",4.32,https://a0.muscache.com/im/pictures/b0b61498-c29c-4a2e-b4ad-48bf46d4cb9d.jpg?aki_policy=large
3,HABITACIÓN PRIVADA EN: APARTAMENTO,Amplia y comoda habitación con balcón,2 huéspedes · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio anterior:
34€
Precio con descuento:
29€/noche",4.72,https://a0.muscache.com/im/pictures/b8b88483-0aac-43c3-bc55-50924b3ab60a.jpg?aki_policy=large
4,HABITACIÓN PRIVADA EN: APARTAMENTO,Excellent exterior room for 3 people,3 huéspedes · 1 dormitorio · 2 camas · 2 baños compartidos,"Precio anterior:
36€
Precio con descuento:
31€/noche",4.37,https://a0.muscache.com/im/pictures/2a3cb45f-a4f5-41a6-855c-4577b0222f4b.jpg?aki_policy=large
5,HABITACIÓN PRIVADA EN: APTO. EN COMPLEJO RESIDENCIAL,Luminosa y cómoda. Muy cerca de Campo Barça WIFI,1 huésped · 1 dormitorio · 1 cama · 1 baño compartido,"Precio anterior:
29€
Precio con descuento:
25€/noche",4.98,https://a0.muscache.com/im/pictures/b29228db-e7ab-4d91-a110-0158a97ddea3.jpg?aki_policy=large
6,PLUS,"Leafy, Light-Filled Eixample Home with Minimalist Style",2 huéspedes · 1 dormitorio privado · 1 cama · 1 baño privado,"Precio:
53€/noche",4.73,"https://a0.muscache.com/4ea/air/v2/pictures/3c6f3ae1-d2f4-4eb5-983e-ad56828bc018.jpg?t=r:w1200-h720-sfit,e:fjpg-c90"
7,HABITACIÓN PRIVADA EN: APARTAMENTO,Comoda habitacion para uno en Plaza España,1 huésped · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio:
27€/noche",4.50,https://a0.muscache.com/im/pictures/d648aaca-bb99-40a7-a52d-735f3734f86d.jpg?aki_policy=large
8,HABITACIÓN PRIVADA EN: APARTAMENTO,Single 02 CasanovaRooms Barcelona,1 huésped · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio anterior:
34€
Precio con descuento:
30€/noche",4.81,https://a0.muscache.com/im/pictures/3264313/854e445a_original.jpg?aki_policy=large
9,HABITACIÓN PRIVADA EN: APTO. EN COMPLEJO RESIDENCIAL,HABITACION INDIVIDUAL1 persona TV- CAJA SEGURIDAD,1 huésped · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio anterior:
30€
Precio con descuento:
26€/noche",4.50,https://a0.muscache.com/im/pictures/6bd44f0d-0515-4401-a973-4af98eb8e035.jpg?aki_policy=large
10,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitacion De Matrimonio Individual.,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
30€/noche",4.80,https://a0.muscache.com/im/pictures/fd7f97b8-efda-4e76-95ba-add03847f0d1.jpg?aki_policy=large
11,HABITACIÓN PRIVADA EN: APARTAMENTO,Privada y céntrica habitación para 4 personas,4 huéspedes · 1 dormitorio · 2 camas · 1 baño compartido,"Precio anterior:
46€
Precio con descuento:
38€/noche",4.54,https://a0.muscache.com/im/pictures/185acd88-99a2-42d4-a306-1cf05184b963.jpg?aki_policy=large
12,HABITACIÓN PRIVADA EN: APARTAMENTO,Nice double room in the center of Barcelona.,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio anterior:
59€
Precio con descuento:
40€/noche",4.80,https://a0.muscache.com/im/pictures/de8af0ef-b3d7-4465-9f7e-227b0bace8af.jpg?aki_policy=large
13,HABITACIÓN PRIVADA EN: APARTAMENTO,"Big sunny room, city center!",2 huéspedes · 1 dormitorio · 1 cama · 1 baño privado,"Precio:
48€/noche",4.54,https://a0.muscache.com/im/pictures/45870b0b-c89c-4014-b976-110c84927d65.jpg?aki_policy=large
14,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitación práctica y céntrica,2 huéspedes · 1 dormitorio · 2 camas · 1 baño compartido,"Precio anterior:
26€
Precio con descuento:
23€/noche",4.80,https://a0.muscache.com/im/pictures/78f90dc7-a06e-4ab3-9d90-5d0b749ecf3f.jpg?aki_policy=large
15,HABITACIÓN PRIVADA EN: APARTAMENTO,Habitación simple Plaza España,1 huésped · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
29€/noche",4.65,https://a0.muscache.com/im/pictures/8918983/2fec6ae2_original.jpg?aki_policy=large
16,HABITACIÓN PRIVADA EN: APARTAMENTO,B&B Eixample relax,1 huésped · 1 dormitorio · 1 cama · 1 baño compartido,"Precio:
31€/noche",4.78,https://a0.muscache.com/im/pictures/3649fcee-486e-424f-b153-351c1d1813f7.jpg?aki_policy=large
17,HABITACIÓN PRIVADA EN: APARTAMENTO,ACOGEDORA HABITACION AL LADO DE HOSPITAL CLINIC,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio anterior:
34€
Precio con descuento:
30€/noche",4.14,https://a0.muscache.com/im/pictures/8c72e987-39a3-4441-a6c4-37f01e3bf5de.jpg?aki_policy=large
18,HABITACIÓN PRIVADA EN: APARTAMENTO,ACOGEDORA HABITACION AL LADO DE HOSPITAL CLINIC,2 huéspedes · 1 dormitorio · 1 cama · 1 baño compartido,"Precio anterior:
34€
Precio con descuento:
30€/noche",4.14,https://a0.muscache.com/im/pictures/8c72e987-39a3-4441-a6c4-37f01e3bf5de.jpg?aki_policy=large
19,HABITACIÓN PRIVADA EN: APARTAMENTO,WHY NOT?UN ESPACIO PARA DISFRUTAR,1 huésped · 1 dormitorio · 1 cama · 1 baño,"Precio:
31€/noche",4.38,https://a0.muscache.com/im/pictures/18034477/f91d25c6_original.jpg?aki_policy=large
20,HABITACIÓN PRIVADA EN: APARTAMENTO,Small room in the Heart of BARCELONA.,1 huésped · 1 dormitorio · 1 cama · 1 baño compartido,"Precio anterior:
30€
Precio con descuento:
27€/noche",4.36,https://a0.muscache.com/im/pictures/12167690-7ebf-4e91-8ae7-dcdc33ac6b3f.jpg?aki_policy=large
21,HABITACIÓN PRIVADA EN: APARTAMENTO,Amplia y cómoda habitación Pl.España,2 huéspedes · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio anterior:
34€
Precio con descuento:
30€/noche",4.45,https://a0.muscache.com/im/pictures/0cf784e6-67ff-45a0-aa9e-6301425ce7dd.jpg?aki_policy=large
22,HABITACIÓN PRIVADA EN: APARTAMENTO,Centrica room with lots of light,2 huéspedes · 1 dormitorio · 1 cama · 2 baños compartidos,"Precio anterior:
34€
Precio con descuento:
29€/noche",4.25,https://a0.muscache.com/im/pictures/2b868ddd-9f74-49ab-87ca-e3b86e9ad28e.jpg?aki_policy=large
